Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mlg,age,make,model,mileage_new,engine_new,power_new,KM_Driven
Chennai,Petrol,Manual,First,5,4.5,18.2,9,honda,jazz,18.2,1199,88.7,46
Chennai,Diesel,Manual,First,7,6,20.77,8,maruti,ertiga,20.77,1248,88.76,87
Jaipur,Diesel,Manual,First,5,3.5,23.08,7,nissan,micra,23.08,1461,63.1,86
Chennai,Diesel,Manual,Second,5,1.95,22.3,8,tata,indica,22.3,1248,74,65
Jaipur,Diesel,Manual,First,5,5.6,25.2,5,maruti,swift,25.2,1248,74,64
Kochi,Diesel,Manual,First,5,5.4,25.8,4,honda,amaze,25.8,1498,98.6,58
Jaipur,Diesel,Manual,First,5,5.99,28.4,3,maruti,swift,28.4,1248,74,25
Kochi,Diesel,Manual,First,5,6.34,20.45,6,renault,duster,,1461,83.8,77
Bangalore,Diesel,Manual,Second,5,8.25,23.65,5,maruti,s,23.65,1248,88.5,55
Kolkata,Petrol,Manual,First,5,1.87,18.5,10,hyundai,i20,18.5,1197,80,45
Hyderabad,Diesel,Manual,First,5,4.25,23.08,8,nissan,micra,23.08,1461,63.1,54
Hyderabad,Petrol,Manual,Second,5,2.75,20.92,7,maruti,alto,20.92,998,67.1,54
Kochi,Petrol,Manual,First,5,9.9,17.5,2,honda,wrv,17.5,1199,88.7,37
Jaipur,Petrol,Manual,Second,5,1.85,14,11,maruti,wagon,14,1061,64,83
Kochi,Diesel,Manual,First,5,8.63,24.3,2,maruti,vitara,0,1248,88.5,50
Delhi,Petrol,Manual,First,5,4.85,18.15,3,mahindra,kuv,18.15,1198,82,52
Chennai,Diesel,Manual,First,5,5,22.07,7,volkswagen,polo,22.07,1199,73.9,62
Delhi,Petrol,Manual,Second,5,1.25,19.7,12,maruti,alto,19.7,796,46.3,90
Kochi,Petrol,Manual,First,4,1.53,25.4,6,tata,nano,25.4,624,37.5,19
Coimbatore,Diesel,Manual,First,6,5.58,25.32,3,mahindra,kuv,0,1198,77,22
Kochi,Petrol,Manual,First,5,4.74,18.5,6,hyundai,i20,18.5,1197,82.9,35
Jaipur,Diesel,Manual,First,5,3.85,24.4,6,hyundai,xcent,24.4,1120,71,75
Delhi,Diesel,Manual,First,5,4.25,22.9,6,maruti,swift,0,1248,74,52
Kolkata,Diesel,Manual,First,5,3.3,17.8,6,maruti,swift,17.8,1248,75,53
Delhi,Diesel,Manual,First,5,3.85,28.4,7,maruti,swift,28.4,1248,74,65
Chennai,Petrol,Manual,Third,5,3.6,18.9,5,hyundai,grand,18.9,1197,82,54
Kochi,Petrol,Manual,First,5,3.3,25.17,3,renault,kwid,,799,53.3,16
Kolkata,Petrol,Manual,First,5,2.07,20.36,10,hyundai,i10,20.36,1197,78.9,32
Hyderabad,Petrol,Manual,First,5,2.25,18.2,10,maruti,zen,18.2,998,67.1,39
Bangalore,Diesel,Manual,First,5,2.75,20,10,ford,figo,20,1399,68,72
Chennai,Diesel,Manual,First,5,2.5,25,4,tata,indica,25,1396,69,178
Mumbai,Petrol,Automatic,Second,5,1.85,16.4,13,honda,city,16.4,1497,78,63
Pune,Diesel,Manual,First,7,8.15,24.52,4,maruti,ertiga,24.52,1248,88.5,63
Mumbai,Diesel,Manual,First,5,10.5,22.1,2,hyundai,creta,22.1,1396,88.7,13
Kochi,Petrol,Automatic,First,5,3.48,16.95,8,hyundai,i10,,1197,78.9,45
